#Copied from http://snpeff.sourceforge.net/SnpEff_manual.html
#Effect	Effect	Note & Example 	Impact
Effect	Effect	Note & Example 	Impact
downstream_gene_variant 	DOWNSTREAM	Downstream of a gene (default length: 5K bases) 	MODIFIER 
inframe_insertion 	CODON_INSERTION	One or many codons are inserted 	MODERATE 
inframe_deletion 	CODON_DELETION	One or many codons are deleted 	MODERATE 
disruptive_inframe_insertion	CODON_CHANGE_PLUSCODON_INSERTION	One codon is changed and one or many codons are inserted 	MODERATE 
disruptive_inframe_deletion 	CODON_CHANGE_PLUSCODON_DELETION	One codon is changed and one or more codons are deleted 	MODERATE 
coding_sequence_variant 	CODON_CHANGE	One or many codons are changed 	MODERATE 
inversion	CHROMOSOME_LARGE_INVERSION	Inversion of a large chromoome segment (over 1% or 1,000,000 bases). 	MODERATE 
duplication	CHROMOSOME_LARGE_DUPLICATION	Duplication of a large chromoome segment (over 1% or 1,000,000 bases). 	LOW 
chromosome	CHROMOSOME_LARGEDELETION	A large part (over 1% or 1,000,000 bases) of the chromosome was deleted. 	HIGH 
coding_sequence_variant 	CDS	The variant hits a CDS. 	MODIFIER 
